variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r75m,1,75.000000,435,0.000000,0.003828,0.399858,0.327967,0.758908,0.000000,0.001000,1.000000,1.000000,0.259214
tournament,c1_r75m,1,75.000000,446,0.000000,0.004261,0.609131,0.230428,0.503101,0.000139,0.001000,1.000000,1.000000,0.143008
tournament,c1_r75m,1,75.000000,436,0.000000,-0.003889,0.351437,0.386652,0.532593,0.000028,0.001000,1.000000,1.000000,0.258406
tournament,c1_r75m,1,75.000000,448,0.000000,0.092500,0.346465,0.595489,0.822541,0.000056,0.001000,1.000000,0.998333,0.467157
tournament,c1_r75m,1,75.000000,438,0.000000,-0.011111,0.413116,0.578650,0.813470,0.000028,0.001000,1.000000,1.000000,0.290136
tournament,c1_r75m,1,75.000000,439,0.000000,0.000000,0.396853,0.259943,0.454087,0.000028,0.001000,1.000000,1.000000,0.276773
tournament,c1_r75m,1,75.000000,449,0.000000,0.000000,0.207732,0.527159,0.396137,0.000083,0.001000,1.000000,1.000000,0.212879
tournament,c1_r150m,1,150.000000,401,0.142857,0.131726,0.726319,0.495335,0.561413,0.000361,0.001000,1.000000,0.998333,0.634743
tournament,c1_r150m,1,150.000000,400,0.246377,-0.015157,0.339958,0.197913,0.571999,0.000333,0.001000,1.000000,0.995000,0.178953
tournament,c1_r75m,1,75.000000,447,0.000000,-0.007692,0.309121,0.226291,0.865450,0.000028,0.001000,1.000000,1.000000,0.055714
tournament,c1_r150m,1,150.000000,408,0.086957,0.049514,0.209131,0.726157,0.237845,0.000250,0.001000,1.000000,1.000000,0.752123
tournament,c1_r75m,1,75.000000,445,0.000000,-0.000556,0.451236,0.208662,0.677821,0.000139,0.001000,1.000000,1.000000,0.171587
tournament,c1_r150m,1,150.000000,410,0.000000,0.026263,0.393453,0.194025,0.584380,0.000056,0.001000,1.000000,0.998333,0.225009
tournament,c1_r150m,1,150.000000,413,0.384615,0.110576,0.302485,0.343692,0.527753,0.000333,0.001000,1.000000,0.998333,0.317344
tournament,c1_r150m,1,150.000000,414,0.052632,0.081209,0.577810,0.560066,0.640467,0.000278,0.001000,1.000000,0.998333,0.305105
tournament,c1_r150m,1,150.000000,415,0.208333,0.084856,0.311738,0.432176,0.718252,0.000444,0.001000,1.000000,0.998333,0.202639
tournament,c1_r150m,1,150.000000,416,-0.187500,0.169992,0.352885,0.351544,0.753913,0.000222,0.001859,0.983333,0.991667,0.317639
tournament,c1_r150m,1,150.000000,406,-0.045455,0.031321,0.754268,0.187190,0.833180,0.000139,0.001000,1.000000,1.000000,0.261982
tournament,c1_r150m,1,150.000000,402,0.057143,0.056798,0.262278,0.181546,0.639298,0.000722,0.003532,0.983333,0.995000,0.154421
tournament,c1_r150m,1,150.000000,403,0.473684,0.099199,0.315149,0.159718,0.725396,0.000417,0.003654,0.983333,0.995000,0.167023
tournament,c1_r150m,1,150.000000,404,-0.038961,0.063770,0.187122,0.687179,0.774103,0.000250,0.001000,1.000000,0.998333,0.731782
tournament,c1_r150m,1,150.000000,405,0.066667,0.055612,0.342124,0.640567,0.692848,0.000278,0.001000,1.000000,0.998333,0.657472
tournament,c1_r150m,1,150.000000,417,0.076923,0.077273,0.615227,0.470302,0.629157,0.000111,0.001000,1.000000,0.995000,0.423345
tournament,c1_r150m,1,150.000000,419,0.000000,0.171888,0.222637,0.658328,0.516928,0.000111,0.001000,1.000000,0.998333,0.382590
tournament,c1_r150m,1,150.000000,407,0.000000,0.112244,0.356442,0.220248,0.797687,0.000083,0.001000,1.000000,1.000000,0.227673
tournament,c1_r150m,1,150.000000,409,-0.541667,-0.031985,0.478638,0.074134,0.416339,0.000500,0.004519,0.983333,0.998333,0.108039
tournament,c1_r150m,1,150.000000,412,0.038462,0.111476,0.367687,0.286991,0.754830,0.000556,0.004557,0.983333,0.998333,0.317901
tournament,c1_r150m,1,150.000000,421,0.010101,0.077889,0.298698,0.490947,0.334300,0.000167,0.001000,1.000000,1.000000,0.560983
tournament,c1_r150m,1,150.000000,411,0.069892,0.130127,0.500294,0.268403,0.153749,0.000333,0.001000,1.000000,0.998333,0.160058
tournament,c1_r150m,1,150.000000,422,0.319444,0.060234,0.751869,0.364545,0.507057,0.000333,0.001000,1.000000,1.000000,0.311454
tournament,c1_r150m,1,150.000000,423,0.222222,0.040952,0.302661,0.752024,0.500480,0.000194,0.001000,1.000000,0.996667,0.704463
tournament,c1_r150m,1,150.000000,418,0.142857,0.201874,0.223750,0.570357,0.459067,0.000167,0.001000,1.000000,0.995000,0.540519
tournament,c1_r150m,1,150.000000,420,-0.041667,0.162879,0.585711,0.591086,0.697768,0.000111,0.001000,1.000000,0.996667,0.557681
tournament,c1_r150m,1,150.000000,429,0.135673,0.140960,0.267845,0.233707,0.478533,0.000389,0.001000,1.000000,1.000000,0.167507
tournament,c1_r150m,1,150.000000,430,0.000000,0.097816,0.545532,0.245224,0.497158,0.000000,0.001000,1.000000,1.000000,0.248194
tournament,c1_r150m,1,150.000000,437,0.266304,0.134652,0.461789,0.424361,0.823384,0.000639,0.004857,0.983333,0.996667,0.446392
tournament,c1_r150m,1,150.000000,436,-0.071429,0.015939,0.264185,0.264279,0.442678,0.000167,0.001000,1.000000,0.998333,0.224691
tournament,c1_r150m,1,150.000000,434,0.000000,0.179215,0.250228,0.527025,0.847929,0.000056,0.001000,1.000000,0.998333,0.560594
tournament,c1_r150m,1,150.000000,438,-0.022727,0.027248,0.207268,0.190940,0.797904,0.000222,0.001000,1.000000,0.996667,0.223226
tournament,c1_r150m,1,150.000000,424,-0.066667,0.071956,0.241620,0.271231,0.441970,0.000306,0.001000,1.000000,0.996667,0.121452
tournament,c1_r150m,1,150.000000,425,0.395833,0.131509,0.790681,0.431913,0.781786,0.000417,0.003597,0.983333,0.996667,0.487469
tournament,c1_r150m,1,150.000000,426,0.200000,0.051823,0.367964,0.444724,0.374589,0.000111,0.001000,1.000000,0.996667,0.402215
tournament,c1_r150m,1,150.000000,428,0.000000,0.142183,0.197123,0.414849,0.392101,0.000028,0.001000,1.000000,1.000000,0.376436
tournament,c1_r150m,1,150.000000,427,0.000000,0.129631,0.218008,0.492482,0.576069,0.000056,0.001000,1.000000,0.998333,0.328032
tournament,c1_r150m,1,150.000000,440,0.000000,0.102634,0.311001,0.514798,0.862936,0.000083,0.001000,1.000000,0.998333,0.481950
tournament,c1_r150m,1,150.000000,441,0.090909,0.049404,0.268530,0.561578,0.655881,0.000167,0.001000,1.000000,0.996667,0.604726
tournament,c1_r150m,1,150.000000,431,0.000000,0.064290,0.193630,0.182702,0.699945,0.000139,0.001000,1.000000,0.998333,0.150018
