seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
97,unsuccessful,flat,39,0.682,0.702,0.250,0.216,0.216,0.035,0.252,0.889,0.174,6.804,0.574,5.520
97,unsuccessful,flat,40,0.689,0.732,0.255,0.221,0.221,0.034,0.244,0.627,0.162,6.922,0.576,5.493
97,unsuccessful,flat,41,0.704,0.747,0.273,0.254,0.254,0.019,0.209,1.273,0.182,6.880,0.585,5.576
97,unsuccessful,flat,42,0.682,0.742,0.297,0.282,0.282,0.015,0.234,1.343,0.193,7.025,0.586,5.607
97,unsuccessful,flat,43,0.662,0.741,0.291,0.258,0.258,0.033,0.290,1.115,0.087,6.782,0.561,5.404
97,unsuccessful,flat,44,0.652,0.742,0.275,0.274,0.274,0.001,0.246,0.836,0.202,6.800,0.567,5.427
97,unsuccessful,flat,45,0.665,0.773,0.260,0.250,0.250,0.009,0.254,0.497,0.189,6.991,0.579,5.575
97,unsuccessful,flat,46,0.711,0.826,0.259,0.240,0.240,0.020,0.279,0.061,0.020,6.986,0.594,5.830
97,unsuccessful,flat,47,0.702,0.834,0.195,0.212,0.195,0.017,0.283,1.623,0.049,6.789,0.584,5.732
97,unsuccessful,flat,48,0.695,0.873,0.192,0.222,0.192,0.030,0.318,1.398,0.014,6.909,0.586,5.783
97,unsuccessful,flat,49,0.703,0.854,0.159,0.204,0.159,0.045,0.339,0.432,0.072,7.063,0.578,5.687
97,unsuccessful,flat,50,0.680,0.902,0.118,0.177,0.118,0.059,0.290,0.582,0.063,7.081,0.602,5.953
97,unsuccessful,flat,51,0.653,0.903,0.158,0.185,0.158,0.027,0.262,3.079,0.174,6.856,0.605,5.956
97,unsuccessful,flat,52,0.690,0.877,0.144,0.186,0.144,0.042,0.315,1.516,0.002,6.868,0.598,5.942
97,unsuccessful,flat,53,0.673,0.891,0.162,0.208,0.162,0.046,0.261,1.694,0.096,6.669,0.590,5.803
97,unsuccessful,flat,54,0.681,0.894,0.162,0.201,0.162,0.039,0.270,1.002,0.134,6.521,0.584,5.761
