condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,411,32,0.198178,0.303007,2013.451642,0.000000,0.001750,0.001000,0.000000,0.003937,-0.003937,0.259475
hard,anchor,1,37.500000,6,1.000000,411,33,0.178491,0.342510,1778.328878,0.000000,0.002167,0.001000,0.068376,0.003891,0.064485,0.312834
hard,anchor,1,37.500000,6,1.000000,411,34,0.176606,0.362270,1606.491267,0.000000,0.001556,0.001000,0.045455,0.005618,0.039837,0.381944
hard,anchor,1,37.500000,6,1.000000,411,35,0.163094,0.365647,1671.662856,0.000000,0.001972,0.001000,0.018018,0.023148,-0.005130,0.339450
hard,anchor,1,37.500000,6,1.000000,411,36,0.150705,0.371033,1522.246266,0.000000,0.001806,0.001000,0.031250,0.011811,0.019439,0.274286
hard,anchor,1,37.500000,6,1.000000,411,37,0.153137,0.357794,1597.933459,0.000000,0.002139,0.001000,0.036036,0.016194,0.019842,0.310056
hard,anchor,1,37.500000,6,1.000000,411,38,0.158088,0.405912,1310.692284,0.000000,0.001444,0.001000,0.061856,0.018750,0.043106,0.377432
hard,anchor,1,37.500000,6,1.000000,411,39,0.183124,0.400548,1282.629575,0.000000,0.001333,0.001000,0.010870,0.005650,0.005220,0.342007
hard,anchor,1,37.500000,6,1.000000,411,40,0.122840,0.423884,1289.842593,0.000000,0.001361,0.001000,0.000000,0.000000,0.000000,0.361868
hard,anchor,1,37.500000,6,1.000000,411,41,0.157586,0.423639,1178.961309,0.000000,0.001056,0.001000,0.020833,0.000000,0.020833,0.301887
hard,anchor,1,37.500000,6,1.000000,411,42,0.216875,0.395934,1277.334551,0.000000,0.001250,0.001000,0.048193,0.016949,0.031244,0.412935
hard,anchor,1,37.500000,6,1.000000,411,43,0.201796,0.378497,1263.366860,0.000000,0.001500,0.001000,0.038462,0.005291,0.033171,0.292135
hard,anchor,1,37.500000,6,1.000000,411,44,0.196496,0.391764,1079.631546,0.000000,0.001306,0.001000,0.044944,0.006173,0.038771,0.354582
hard,anchor,1,37.500000,6,1.000000,411,45,0.184058,0.338988,1179.286080,0.000000,0.001028,0.001000,0.024691,0.006135,0.018556,0.331967
hard,anchor,1,37.500000,6,1.000000,411,46,0.161144,0.324931,1054.248641,0.000000,0.001306,0.001000,0.044776,0.027972,0.016804,0.319048
hard,anchor,1,37.500000,6,1.000000,411,47,0.163361,0.334739,970.040956,0.000000,0.001194,0.001000,0.037500,0.000000,0.037500,0.325203
hard,anchor,1,37.500000,6,1.000000,411,48,0.142778,0.369539,1169.661721,0.000000,0.001583,0.001000,0.027523,0.004854,0.022669,0.346032
hard,anchor,1,37.500000,6,1.000000,411,49,0.165566,0.363259,1151.826194,0.000000,0.000972,0.001000,0.020408,0.000000,0.020408,0.300613
hard,anchor,1,37.500000,6,1.000000,411,50,0.190981,0.392593,1113.202059,0.000000,0.001056,0.001000,0.025641,0.015038,0.010603,0.369668
hard,anchor,1,37.500000,6,1.000000,411,51,0.186613,0.373844,1012.504209,0.000000,0.000944,0.001000,0.041667,0.000000,0.041667,0.409091
hard,anchor,1,37.500000,6,1.000000,411,52,0.206176,0.381156,1187.785667,0.000000,0.001222,0.001000,0.028846,0.000000,0.028846,0.429752
