candidate,seed,stable,collapsed,score,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
food_site_count=5,240,True,False,2.0,1.0,0.2525,3.512789692867992,0.9132020315685829,0.8065547672449249,0.7909055256238692,0.7909055256238692,0.4673426720155423
food_site_count=5,241,True,False,2.0,1.0,0.22552777777777777,2.932586198792512,0.8156018720792759,0.7741343375183488,0.7637375455110258,0.7637375455110258,0.696727983726693
food_site_count=5,242,False,False,0.28037000319161803,0.28037000319161803,0.25566666666666665,2.656202113324597,0.22429600255329443,0.21716360442898133,0.1627375040292543,0.1627375040292543,0.7122946967300406
food_site_count=5,243,True,False,2.0,1.0,0.23944444444444446,3.294690610036687,0.9159839269516455,0.8122910337156509,0.7880928132279178,0.7880928132279178,0.4240182155545076
food_site_count=5,244,True,False,2.0,1.0,0.23647222222222222,3.175358579005697,0.8359302604738441,0.7762128388583214,0.8577807533201623,0.7762128388583214,0.7128364265107685
food_site_count=5,245,True,False,2.0,1.0,0.23947222222222223,3.328549411339014,0.8754190237925626,0.8867335086656633,0.8628651992345981,0.8628651992345981,0.6965361749518569
food_site_count=5,246,True,False,2.0,1.0,0.24408333333333332,3.3622893730499315,0.8916349865879151,0.8560530665396521,0.7702558773885652,0.7702558773885652,0.5290193239785045
food_site_count=5,247,True,False,2.0,1.0,0.2619722222222222,3.6562397140203498,0.8968876416838005,0.7992503018960552,0.7837533951681893,0.7837533951681893,0.5013630773398636
food_site_count=5,248,False,False,0.30853794138498064,0.30853794138498064,0.21769444444444447,2.2366145216852553,0.26790211758484284,0.15426897069249032,0.16866874609686588,0.15426897069249032,0.6296057354130918
food_site_count=5,249,True,False,2.0,1.0,0.24458333333333335,3.3891949886415116,0.9245738628998755,0.8562641121142609,0.5773302477084108,0.5773302477084108,0.4748340634620485
food_site_count=5,250,True,False,2.0,1.0,0.2497222222222222,3.4240850007808437,0.8542710765606248,0.885761197844317,0.8292973527439663,0.8292973527439663,0.7613278420672104
food_site_count=5,251,True,False,2.0,1.0,0.2534722222222222,3.575329005967002,0.9376491860074697,0.8989446042664092,0.717192455104914,0.717192455104914,0.5358744414067702
food_site_count=5,252,True,False,2.0,1.0,0.2228888888888889,2.950493636249368,0.8285665662267383,0.8795200911628542,0.6422092751674451,0.6422092751674451,0.5717186817254213
food_site_count=5,253,True,False,2.0,1.0,0.2321111111111111,3.1020864019343617,0.868530605958951,0.7885190957754618,0.7889172486579211,0.7885190957754618,0.7605396473672513
food_site_count=5,254,True,False,2.0,1.0,0.22011111111111112,2.934554761472266,0.8641260277922934,0.7851884909277428,0.6881957979726118,0.6881957979726118,0.8197658689216899
food_site_count=5,255,False,False,0.34154986517897096,0.34154986517897096,0.2413611111111111,2.4877008539559697,0.2732398921431768,0.20137306719902295,0.2600332916972047,0.20137306719902295,0.8029170898175143
food_site_count=5,256,False,False,0.3033324285596896,0.3033324285596896,0.23625000000000002,2.426172087035373,0.2438069665620515,0.1516662142798448,0.20234677056111766,0.1516662142798448,0.5508544323556855
food_site_count=5,257,True,False,2.0,1.0,0.2451388888888889,3.3598849600724576,0.8771449869674656,0.827116789015112,0.7742021717717021,0.7742021717717021,0.6432591343589017
food_site_count=5,258,True,False,2.0,1.0,0.22444444444444445,2.964118252062678,0.8279427695204918,0.7801962181342148,0.7212179171742861,0.7212179171742861,0.3681000732877109
food_site_count=5,259,True,False,2.0,1.0,0.23991666666666667,3.2264419824580295,0.8490985697386009,0.8649973476069774,0.8105778368752377,0.8105778368752377,0.7432333413224175
food_site_count=5,260,True,False,2.0,1.0,0.2461111111111111,3.3768434396985794,0.9025947232079489,0.8649784813484064,0.5955205362051366,0.5955205362051366,0.7439912083089909
food_site_count=5,261,True,False,2.0,1.0,0.23505555555555555,3.2109276102235382,0.8859216063729509,0.8474458367321829,0.7225043551395806,0.7225043551395806,0.5135517348721627
food_site_count=5,262,True,False,2.0,1.0,0.23375,3.2164159965440193,0.8797921437268603,0.83996623478111,0.7595849713517759,0.7595849713517759,0.3882723476285127
